input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
maybe it went out. should someone check it?,i don't know what you're saying,why didn't you tell me?,that's not what i mean,maybe it's a big case anyway,i don't know what you mean,original/standard_beam_search_bs10_npad0.3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_9,clustered/random_sampling_temp0.7.json_6,original/random_sampling_temp0.7.json_7,clustered/standard_beam_search_bs100_npad0.3.json_7,59,your men knew the risks.,i didn't know what to do,you're the only one who can help me,all right i'll be right back,they wouldn't have seen them,most of the men i know,clustered/standard_beam_search_bs100_npad0.3.json_6,original/standard_beam_search_bs10.json_8,original/random_sampling_temp0.5.json_0,clustered/random_sampling_temp0.5.json_7,clustered/random_sampling_temp0.7.json_0,3,it bit you.,what are you doing here?,i'll be right back,i'm an expert on this,you'll have to do it,you'd better go and call the police,clustered/clustering_beam_search_bs100_cbs5.json_7,clustered/random_sampling_temp0.5.json_3,clustered/random_sampling_temp0.7.json_8,original/clustering_beam_search_bs10_cbs5.json_6,original/random_sampling_temp0.5.json_5,44,fine speech. now what do we do?,talk to him about it?,we're not going to do anything,what do we do now?,we're going to have to do something,do you know what i mean?,clustered/iterative_beam_search_bs5_ibs100.json_8,original/clustering_beam_search_bs10_cbs5.json_6,clustered/random_sampling_temp1.0_top100.json_2,original/clustering_beam_search_bs10_cbs5.json_9,original/iterative_beam_search_bs5_ibs10.json_2,57,aren't you coming?,i don't know what you're saying,you're not going anywhere,i don't want to go,you're not going anywhere,i'll be back in a moment,original/standard_beam_search_bs10_npad0.3.json_7,clustered/beam_search_bs100_kpercand3.json_4,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/clustering_beam_search_bs100_cbs5.json_6,original/standard_beam_search_bs10.json_6,4
he was... taken.,what are you talking about?,i'm sure he'll be very happy to see you again ma'a m but it doesn't matter,i'll be right back,what are you talking about?,i don't know what he's talking about,clustered/random_sampling_temp1.0_top100.json_7,clustered/diverse_beam_search_bs100_dbs0.8.json_3,clustered/standard_beam_search_bs100.json_6,clustered/random_sampling_temp1.0.json_2,original/standard_beam_search_bs10.json_5,24,there are cables overhead. hang on. it'll clear up.,now get out of here!,i don't know what i'm doing,would you like a drink?,we're going to have a little trouble here tonight at 7 00 p m tomorrow morning in new york and i'll tell you something else no matter what happens there won't be any,i'll be right back,clustered/random_sampling_temp0.5.json_8,original/standard_beam_search_bs10_npad0.3.json_4,clustered/iterative_beam_search_bs5_ibs100.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_0,clustered/standard_beam_search_bs100.json_2,88,you know where he lives?,i don't know where he is,he's got a lot of work to do,i've never seen him before,no i don't think so,i've seen him before,original/beam_search_bs10_kpercand3.json_0,clustered/random_sampling_temp1.0_top100.json_0,clustered/beam_search_bs100_kpercand3.json_5,clustered/random_sampling_temp1.0.json_0,original/random_sampling_temp0.7.json_9,39,make a right. you can't miss it.,i've got to go,get cleaned up and wash my arm,you're not going anywhere,i want you to go with me now,let's get out of here,clustered/beam_search_bs100_kpercand3.json_4,clustered/random_sampling_temp1.0.json_1,clustered/beam_search_bs100_kpercand3.json_9,clustered/random_sampling_temp1.0.json_3,clustered/beam_search_bs100_kpercand3.json_7,89,are you alright?,i'm here to help you,but i mean not such a romantic terminal lygia could flog without acting,get your fingers off the floor,can't you hear me?,i don't want to go,clustered/random_sampling_temp0.5.json_9,original/random_sampling_temp1.0.json_7,clustered/random_sampling_temp1.0.json_0,original/iterative_beam_search_bs5_ibs10.json_3,original/clustering_beam_search_bs10_cbs5.json_5,30
where are you?,i'll be right back,take a look at this!,where do you think you're going?,who are you talking to?,i've had a few laughs,clustered/diverse_beam_search_bs100_dbs0.8.json_7,clustered/iterative_beam_search_bs5_ibs100.json_5,clustered/standard_beam_search_bs100.json_4,original/iterative_beam_search_bs5_ibs10.json_5,original/random_sampling_temp1.0_top10.json_8,12,will he be alright?,don't be surprised for him,i'll take care of him,i don't want to see him anymore,i'll be right there,he'll be all right,clustered/random_sampling_temp1.0.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/standard_beam_search_bs10_npad0.3.json_8,original/standard_beam_search_bs10.json_4,clustered/beam_search_bs100_kpercand3.json_0,33,what are you looking to read?,i want to talk to you,i don't know what to say,i've seen that before,i've been here before,what's the matter with you?,clustered/random_sampling_temp0.5.json_4,clustered/standard_beam_search_bs100_npad0.3.json_1,original/random_sampling_temp0.5.json_0,original/random_sampling_temp1.0_top10.json_4,clustered/beam_search_bs100_kpercand3.json_6,95,he said we're all going to have to go talk to the guy.,hey hanuman how'd you feel about that old man?,where did you get this?,i didn't talk to him,he's got a lot of connections,i don't want to talk about it,original/random_sampling_temp1.0.json_2,original/iterative_beam_search_bs5_ibs10.json_6,clustered/random_sampling_temp0.7.json_1,clustered/random_sampling_temp0.7.json_8,clustered/clustering_beam_search_bs100_cbs5.json_3,99,you really got a masters degree?,i don't know what you mean,i don't know what to say,i don't give a shit,no i don't think so,no i don't think so,original/beam_search_bs10_kpercand3.json_6,original/beam_search_bs10_kpercand3.json_5,clustered/standard_beam_search_bs100_npad0.3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_6,original/clustering_beam_search_bs10_cbs5.json_0,98
"c'mon, i need to talk to you. just the two of us.",we've got to get to the hospital,i don't want any trouble,let's get out of here,i've got to get out of here before somebody else gets hurt and nobody knows what,i don't need your help,clustered/random_sampling_temp1.0_top100.json_1,clustered/standard_beam_search_bs100.json_0,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/random_sampling_temp0.5.json_1,82,who invited you?,i was in the??,why did you come here at the wedding?,where did you come from?,i've been waiting for you,do you know who i am?,original/random_sampling_temp0.5.json_0,original/random_sampling_temp1.0.json_3,original/iterative_beam_search_bs5_ibs10.json_5,clustered/random_sampling_temp0.5.json_8,clustered/iterative_beam_search_bs5_ibs100.json_9,14,it's okay.,what's the matter with you?,i don't ever want to compliment you,i'm sorry i'm sorry,i'll be right there,i don't care what you do,clustered/iterative_beam_search_bs5_ibs100.json_3,clustered/random_sampling_temp1.0.json_8,clustered/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_2,clustered/standard_beam_search_bs100_npad0.3.json_8,0,when do we go?,i'll be back in a minute,i don't know if i can,i'll be right back,i'll do it myself,as soon as we get there,clustered/standard_beam_search_bs100.json_0,original/beam_search_bs10_kpercand3.json_6,original/standard_beam_search_bs10_npad0.3.json_0,clustered/random_sampling_temp0.5.json_2,clustered/beam_search_bs100_kpercand3.json_7,32,"it's happened at last, we've become a limited company.",it's a bit of a shock,i can't believe you're here,i don't know what you're saying,i don't know what to say,do you have any idea what's going on?,clustered/random_sampling_temp0.5.json_5,clustered/random_sampling_temp0.7.json_0,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/random_sampling_temp0.5.json_8,original/iterative_beam_search_bs5_ibs10.json_3,84
"when you get going on those broads, think of me!",they'll be out of the loop by now!,i don't care what you do!,i don't know what to say,i don't know what you're talking about,i don't know what to do!,original/random_sampling_temp1.0_top10.json_7,original/standard_beam_search_bs10_npad0.3.json_1,original/clustering_beam_search_bs10_cbs5.json_1,clustered/clustering_beam_search_bs100_cbs5.json_2,original/standard_beam_search_bs10.json_3,81,what are you crying for?,didn't you hear me?,i've got to go,i'm not sure i know anything about that,i've been waiting for you,i've been waiting for you,clustered/iterative_beam_search_bs5_ibs100.json_2,original/diverse_beam_search_bs10_dbs0.8.json_3,original/random_sampling_temp1.0_top10.json_9,clustered/standard_beam_search_bs100_npad0.3.json_2,original/standard_beam_search_bs10.json_5,48,shall we unpack it?,yeah i'll take it,i don't want to hear that,i'll see you later,i don't know what to do with it,i have to get the?,clustered/iterative_beam_search_bs5_ibs100.json_9,clustered/random_sampling_temp1.0_top100.json_8,original/standard_beam_search_bs10_npad0.3.json_2,original/standard_beam_search_bs10.json_8,original/random_sampling_temp0.7.json_0,49,maybe you inspire me.,or maybe you're not,well i can't imagine you'd be a good boy but i'm not the first to do something about that,i'm just a little.,must have been a long time ago,i'll tell you what's wrong with me and the rest of my life,original/iterative_beam_search_bs5_ibs10.json_4,original/random_sampling_temp1.0_top10.json_0,clustered/random_sampling_temp0.5.json_4,clustered/iterative_beam_search_bs5_ibs100.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_1,27,well i was right. you are a sentimentalist.,i don't know what you're talking about!,you're not a.,i'm not a.!,sir i want you to call buenos 51 this time,i'll be right back,original/standard_beam_search_bs10.json_6,clustered/iterative_beam_search_bs5_ibs100.json_2,original/random_sampling_temp0.5.json_9,original/random_sampling_temp1.0.json_8,clustered/beam_search_bs100_kpercand3.json_3,61
why are you working today?,excuse me i have to go,i want to talk to you,aren't you going to tell me?,i don't know what to say,i've got to go,clustered/iterative_beam_search_bs5_ibs100.json_9,clustered/clustering_beam_search_bs100_cbs5.json_0,original/iterative_beam_search_bs5_ibs10.json_8,clustered/standard_beam_search_bs100.json_3,clustered/standard_beam_search_bs100.json_5,25,tell me your name.,what are you doing here?,i've been. to a. for a month,what are you talking about?,i'll tell you what,i'll tell you what's wrong with me and everybody else,clustered/beam_search_bs100_kpercand3.json_8,original/random_sampling_temp1.0_top10.json_7,clustered/beam_search_bs100_kpercand3.json_1,original/standard_beam_search_bs10.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_5,19,they've taken your clothes?,what are you talking about?,i'm the only one who knows,i don't have any money,they've just very careful there,i'll tell you what,clustered/random_sampling_temp1.0_top100.json_9,clustered/random_sampling_temp1.0_top100.json_0,original/clustering_beam_search_bs10_cbs5.json_2,original/random_sampling_temp1.0.json_4,original/clustering_beam_search_bs10_cbs5.json_1,16,do you really know superman?,i'm very happy to know that,his face was right around the head,i don't know what you mean,i'm gonna go back to his place,i've never seen him,original/random_sampling_temp0.5.json_4,clustered/random_sampling_temp1.0.json_2,clustered/standard_beam_search_bs100.json_3,original/random_sampling_temp1.0_top10.json_4,original/diverse_beam_search_bs10_dbs0.8.json_1,52,do you think they'll walk away?,i'll be right back,look i don't know what you're talking about,i don't think they're going to,i don't see why not,you think i'm stupid?,clustered/random_sampling_temp0.7.json_2,original/iterative_beam_search_bs5_ibs10.json_7,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/beam_search_bs100_kpercand3.json_3,clustered/random_sampling_temp0.7.json_6,90
i might do it wrong.,i don't know what you're saying,i think you're a good boy,i've got to get out of here!,i don't know what to do,it's not a bad idea,original/clustering_beam_search_bs10_cbs5.json_6,original/random_sampling_temp1.0_top10.json_0,original/diverse_beam_search_bs10_dbs0.8.json_8,clustered/random_sampling_temp0.5.json_1,clustered/random_sampling_temp0.5.json_9,28,i was holding for someone. that wasn't even mine.,i didn't know what to do with them,now i want you to screw me up,what's the matter with you?,you don't have to do that,that's why i'm here,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/random_sampling_temp1.0.json_0,clustered/beam_search_bs100_kpercand3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/beam_search_bs100_kpercand3.json_0,72,that's coming along well!,what are you doing here?!,you know what i mean?,you're so good you can't take your money!,it's a love affair!,what are you doing here?,original/clustering_beam_search_bs10_cbs5.json_6,clustered/beam_search_bs100_kpercand3.json_8,original/random_sampling_temp1.0_top10.json_5,original/random_sampling_temp0.7.json_8,original/clustering_beam_search_bs10_cbs5.json_0,35,i've lost interest.,have you ever heard of.?,i've never seen anything like this before in my life so many times it doesn't matter to me that the whole world has its own way of saying good bye,i really don't know how it works,i've never seen anything like this,i don't know what to say,original/iterative_beam_search_bs5_ibs10.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/random_sampling_temp0.7.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_5,original/standard_beam_search_bs10_npad0.3.json_2,47,i forgot where i put my keys.,i don't know what to do,i don't know what to do,you're not going anywhere,i didn't want to go to the cab,it's not the same as in the papers,clustered/random_sampling_temp0.5.json_2,clustered/standard_beam_search_bs100_npad0.3.json_1,clustered/clustering_beam_search_bs100_cbs5.json_3,original/random_sampling_temp0.7.json_8,original/random_sampling_temp0.5.json_9,71
what happened to your pants?,i've got a?,i don't know what you're talking,i don't know what you're talking about,i don't know what to say,i was sitting here for a while,clustered/random_sampling_temp0.7.json_4,original/diverse_beam_search_bs10_dbs0.8.json_8,clustered/iterative_beam_search_bs5_ibs100.json_1,original/standard_beam_search_bs10_npad0.3.json_2,clustered/random_sampling_temp0.7.json_3,10,you watch this garbage?,i've never seen it before,i've never seen anything like this before in my life but every single day,know what i'm saying?,maybe i'll get it,i've never seen anything like this before in my life but every single day of the year's eve,original/beam_search_bs10_kpercand3.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/iterative_beam_search_bs5_ibs100.json_9,clustered/iterative_beam_search_bs5_ibs100.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_0,41,my wife wasn't diabetic.,it was my wife's fault,i've never seen anything like that,i didn't know what to do with it,why didn't you tell me?,come on let's go!,clustered/random_sampling_temp1.0_top100.json_9,original/beam_search_bs10_kpercand3.json_8,original/clustering_beam_search_bs10_cbs5.json_6,clustered/beam_search_bs100_kpercand3.json_0,clustered/iterative_beam_search_bs5_ibs100.json_3,42,go ahead to the saloon. but don't get too drunk!,ho gertrude somebody can help hearing them!,while you're at it,i'll kill you!,what's the matter with you?,i don't care what you do!,original/random_sampling_temp1.0.json_9,clustered/iterative_beam_search_bs5_ibs100.json_9,clustered/random_sampling_temp0.5.json_0,clustered/random_sampling_temp0.7.json_7,clustered/standard_beam_search_bs100_npad0.3.json_7,56,i almost thought for a second...,and i thought i'd help him catch tamer with the... bare... oven and a chicken in the tail,i... e got to get out of here,i... e never seen anything like it,i... l be back in a few minutes,i got here a lot of grief right at it,original/random_sampling_temp1.0.json_1,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/clustering_beam_search_bs100_cbs5.json_5,original/beam_search_bs10_kpercand3.json_9,clustered/random_sampling_temp1.0.json_9,78
"you ain't gettin 'in no trouble, i hope.",better take it out of my face now or i'll get. m schoolhouse back!,i don't know what to say,i ain't got no money,you're not going anywhere,i got a lot of work to do,original/random_sampling_temp1.0.json_0,clustered/beam_search_bs100_kpercand3.json_1,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/random_sampling_temp0.5.json_3,clustered/random_sampling_temp0.5.json_4,63,where the hell is he?,i don't know what you're talking about ma'a m,i think he's going to die,looks like he's in a hurry,we've got to find him,he's in the hospital now,clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/random_sampling_temp0.7.json_6,original/iterative_beam_search_bs5_ibs10.json_9,clustered/standard_beam_search_bs100.json_3,clustered/random_sampling_temp0.7.json_1,5,does he have the marked bills on him?,i don't know what he's doing,what's wrong with that?,i'll tell you what,i've never seen him before,he's got a lot of money,original/beam_search_bs10_kpercand3.json_7,clustered/random_sampling_temp1.0.json_1,original/clustering_beam_search_bs10_cbs5.json_1,clustered/beam_search_bs100_kpercand3.json_6,clustered/random_sampling_temp0.7.json_2,69,he certainly was not a popular fellow when they planted him.,i don't know what you're talking about,i'll tell you what,you mean like a.?,he was the only one in the world who was to be a hero,he was a very popular man,clustered/standard_beam_search_bs100_npad0.3.json_3,original/beam_search_bs10_kpercand3.json_0,clustered/random_sampling_temp0.7.json_2,original/random_sampling_temp0.5.json_6,clustered/random_sampling_temp0.7.json_8,74,are you sure you even packed it?,i don't know what to do,i don't know what you're talking about!,yes but that's it that's it,i'll tell you what,i've never seen anything like it,original/standard_beam_search_bs10.json_2,original/diverse_beam_search_bs10_dbs0.8.json_7,original/random_sampling_temp1.0_top10.json_8,clustered/standard_beam_search_bs100.json_0,original/clustering_beam_search_bs10_cbs5.json_3,58
ssh. i'm on a stakeout.,i'll be back in a minute,i don't know what to do,i don't know what to do,i'll be back in a minute,i'm glad you were here,original/standard_beam_search_bs10_npad0.3.json_4,original/diverse_beam_search_bs10_dbs0.8.json_2,clustered/standard_beam_search_bs100.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/random_sampling_temp1.0.json_1,67,i like cows.,i can't believe it!,can't you see that?,an. leather bring me good wine,let's get out of here,i don't want to ruin my life,clustered/standard_beam_search_bs100_npad0.3.json_1,original/iterative_beam_search_bs5_ibs10.json_5,original/random_sampling_temp1.0.json_1,clustered/clustering_beam_search_bs100_cbs5.json_9,original/random_sampling_temp0.5.json_0,40,i'm scared shitless.,that's why i'm here,i'll take care of it myself and make sure,i've got to get out of here,i didn't mean to hurt a man,i don't want to die,clustered/beam_search_bs100_kpercand3.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/diverse_beam_search_bs10_dbs0.8.json_3,original/random_sampling_temp1.0.json_0,original/standard_beam_search_bs10.json_2,37,don't you think you should at least wave?,lf you don't i'll kill you,i'm not going to let you go,is that what you want?,would you like a drink?,i don't know what you're talking about,original/iterative_beam_search_bs5_ibs10.json_7,clustered/random_sampling_temp1.0_top100.json_8,original/iterative_beam_search_bs5_ibs10.json_9,clustered/iterative_beam_search_bs5_ibs100.json_8,original/diverse_beam_search_bs10_dbs0.8.json_0,66,jesus! are you serious?,can't you hear me?,huh i'll do it,i don't know what you're talking about,the? 's a little rough on her,i've never seen you like this before,original/iterative_beam_search_bs5_ibs10.json_3,clustered/iterative_beam_search_bs5_ibs100.json_2,original/diverse_beam_search_bs10_dbs0.8.json_0,original/random_sampling_temp0.7.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_3,34
you sure know how to take a lot of punishment.,is that what you want?,i don't know what to say,i don't know what you're talking about,i don't know what to say,i'll tell you what,original/iterative_beam_search_bs5_ibs10.json_6,clustered/standard_beam_search_bs100.json_0,clustered/random_sampling_temp0.5.json_0,original/standard_beam_search_bs10.json_3,original/diverse_beam_search_bs10_dbs0.8.json_0,91,what are you looking to read?,i've never seen anything like it so far away from home since last night you said,i was trying to find them,looking????!,let's get out of here,i don't know what i'm talking about,clustered/diverse_beam_search_bs100_dbs0.8.json_3,clustered/random_sampling_temp0.7.json_9,clustered/random_sampling_temp1.0_top100.json_3,original/iterative_beam_search_bs5_ibs10.json_8,original/standard_beam_search_bs10.json_6,95,he said we're all going to have to go talk to the guy.,we're batting nobles special beats and there promises are all russians out there,i was trying to break up with him,you know what i'm saying?,we're not going to let you go,you know what i mean?,original/random_sampling_temp1.0.json_1,original/random_sampling_temp0.5.json_1,original/standard_beam_search_bs10.json_1,original/clustering_beam_search_bs10_cbs5.json_7,clustered/random_sampling_temp0.5.json_5,99,i hope he fell off.,how did you know that?,i don't know what he's doing,well that you're the only one who can help,i don't know what to say,i'm sure he'll be all right,clustered/iterative_beam_search_bs5_ibs100.json_1,original/clustering_beam_search_bs10_cbs5.json_6,original/random_sampling_temp0.7.json_4,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10_npad0.3.json_8,23,"i'm in a wheelchair, the truck sounds pretty good.",i'll settle it on the sofa screens,i'm sorry to bother you,what are you doing here?,i don't have time for this,i'll be right back,original/random_sampling_temp1.0.json_9,clustered/random_sampling_temp0.7.json_8,original/beam_search_bs10_kpercand3.json_0,clustered/standard_beam_search_bs100_npad0.3.json_4,original/clustering_beam_search_bs10_cbs5.json_2,65
you going to answer it?,tell me what's going on,i don't care what you say,you know what i'm saying?,you agree with me the? will? it,you're not going anywhere,original/iterative_beam_search_bs5_ibs10.json_9,clustered/random_sampling_temp0.7.json_8,clustered/clustering_beam_search_bs100_cbs5.json_7,original/random_sampling_temp0.7.json_5,clustered/clustering_beam_search_bs100_cbs5.json_2,51,well i was right. you are a sentimentalist.,i'll tell you what,i thought you were a.,you're not the only one,i don't know what you're saying,i'll tell you what,clustered/standard_beam_search_bs100.json_0,clustered/random_sampling_temp0.5.json_0,original/diverse_beam_search_bs10_dbs0.8.json_1,original/clustering_beam_search_bs10_cbs5.json_7,clustered/beam_search_bs100_kpercand3.json_1,61,my wife wasn't diabetic.,i've never seen anything like this,i didn't really see anything,i didn't know what to do with it,what are you talking about?,she doesn't want to see it again,original/clustering_beam_search_bs10_cbs5.json_3,clustered/random_sampling_temp1.0.json_0,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/standard_beam_search_bs100.json_3,original/random_sampling_temp1.0_top10.json_3,42,now i think we really do understand one another.,you're a very good woman,that's why we're here,so what do we do?,but it's a big deal,what do we do now?,clustered/random_sampling_temp1.0_top100.json_0,clustered/beam_search_bs100_kpercand3.json_5,clustered/standard_beam_search_bs100_npad0.3.json_9,clustered/random_sampling_temp1.0_top100.json_6,clustered/standard_beam_search_bs100.json_2,64,where the hell is he?,my brother got hit by the balls of a mouse,i don't know what you're talking about ma'a m but a few minutes ago we went to the? and found out how much money has gone through so many times these days are over,don't you know that?,i'll be right back,i don't know what you're talking about ma'a m but a few minutes ago we went to the? and found out how much money has gone through,original/random_sampling_temp0.7.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_8,original/iterative_beam_search_bs5_ibs10.json_3,clustered/beam_search_bs100_kpercand3.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_9,5
